clause_text,risk_type
"Your experience on Facebook is unlike anyone else's: from the posts, stories, events, ads, and other content you see in Facebook Feed or our video platform to the Facebook Pages you follow and other features you might use, such as Facebook Marketplace, and search.",Personal Data Usage Risk
"We use data about your connections, choices, settings, and activity on and off our Products - to personalize your experience.",Personal Data Usage Risk
"We help you find and connect with people, groups, businesses, organizations, and others that matter to you across the Meta Products you use.",Personal Data Usage Risk
"We use data to make suggestions for you and others - for example, groups to join, events to attend, Facebook Pages to follow or send a message to, shows to watch, and people you may want to become friends with.",Personal Data Usage Risk
"We use your engagement data from one Meta Product (e.g., Facebook) to facilitate connections on another (e.g., Instagram or Messenger).",Personal Data Usage Risk
We provide insights to show you how other users engage with the content you share.,Personal Data Usage Risk
"We share data across Meta Companies when we detect misuse or harmful conduct by someone using one of our Products or to help keep Meta Products, users and the community safe.",Personal Data Usage Risk
"We share information with Meta Companies that provide financial products and services to help them promote safety, security and integrity and comply with applicable law.",Personal Data Usage Risk
"Meta may access, preserve, use and share any information it collects about you where it has a good faith belief it is required or permitted by law to do so.",Personal Data Usage Risk
"We engage in research to develop, test, and improve our Products, including analyzing data we have about our users and understanding how people use our Products.",Personal Data Usage Risk
We design our systems so that your experience is consistent and seamless across the different Meta Products that you use.,Personal Data Usage Risk
"By using the Meta Products covered by these Terms, you agree that we can show you personalized ads and other commercial and sponsored content that businesses and organizations pay us to promote on and off Meta Products.",Personal Data Usage Risk
"We use your personal data, such as information about your activity and interests, to show you personalized ads and sponsored content that may be more relevant to you.",Personal Data Usage Risk
"We allow advertisers to tell us things like their business goal, and the kind of audience they want to see their ads (for example, people between the age of 18-35 who like cycling).",Personal Data Usage Risk
We provide advertisers with reports about the performance of their ads to help them understand how people are interacting with their content on and off Meta Products.,Personal Data Usage Risk
We provide general demographic and interest information to advertisers to help them better understand their audience.,Personal Data Usage Risk
We collect and use your personal data in order to provide the services described above to you.,Personal Data Usage Risk
"We may use feedback and other suggestions without any restriction or obligation to compensate you, and we are under no obligation to keep them confidential.",Personal Data Usage Risk
"We use dedicated teams and technical systems to maintain the security, authenticity, integrity, and confidentiality of our Products and services.",Data Security and Liability Risk
We develop automated systems to improve our ability to detect and remove abusive and dangerous activity that may harm our community and the integrity of our Products.,Data Security and Liability Risk
"To operate our global services, we need to transfer, store and distribute content and data to our data centers, partners, service providers, vendors and systems around the world, including outside your country of residence.",Data Security and Liability Risk
"The global infrastructure used to provide services may be owned, operated, or controlled by Meta Platforms, Inc., Meta Platforms Ireland Limited, or its affiliates.",Data Security and Liability Risk
"Our Products are provided 'as is,' and to the extent permissible by law, we make no guarantees that they always will be safe, secure, or error-free.",Data Security and Liability Risk
"We make no guarantees that our Products will function without disruptions, delays, or imperfections.",Data Security and Liability Risk
"To the extent permitted by law, we also DISCLAIM ALL WARRANTIES, WHETHER EXPRESS OR IMPLIED, INCLUDING THE IMPLIED WARRANTIES OF MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, TITLE, AND NON-INFRINGEMENT.",Data Security and Liability Risk
"We do not control or direct what people and others do or say, and we are not responsible for their actions or conduct (whether online or offline) or any content they share.",Data Security and Liability Risk
